Sicil;Ad;Bölüm;Hat;Görev;Amir;İşe giriş
1122;Gamze Karataş;Bakım;Hat 1;Mekanikçi;9014;2021-12-16
1123;Kadir Karataş;Bakım;Hat 2;Elektrikçi;9015;2024-05-14
1124;Yusuf Güneş;Lojistik;Hat 1;Forklift;9016;2019-01-29
1125;Hatice Gündoğdu;Lojistik;Hat 2;Sevkiyat;9017;2025-11-17
1126;Merve Acar;Depo;Hat 1;Depocu;9018;2016-11-18
1127;Havva Yıldız;Kaynak;Hat 1;Kaynakçı;9001;2017-04-09
1128;Ramazan Çelik;Kaynak;Hat 2;Takım Lideri;9002;2021-01-28
1129;İbrahim Taş;Kaynak;Hat 3;Takım Lideri;9003;2023-08-12
1130;Kadir Küçük;Montaj;Hat 1;Montajcı;9004;2020-06-28
1131;Nihal Arslan;Montaj;Hat 2;Takım Lideri;9005;2021-01-23
1132;Salih Doğan;Montaj;Hat 3;Montajcı;9006;2023-11-09
1133;Nesrin Aslan;Montaj;Hat 4;Montajcı;9007;2022-03-21
1134;Nurten Yavuz;Boya;Hat 1;Kabin Operatörü;9008;2015-01-12
1135;Mustafa Şener;Boya;Hat 2;Boyacı;9009;2015-06-14
1136;Serkan Turan;Presleme;Hat 1;Kalıpçı;9010;2019-02-01
1137;Gökhan Yıldırım;Presleme;Hat 2;Pres Operatörü;9011;2018-03-07
1138;Emre Şimşek;Kalite;Hat 1;Ölçüm Teknisyeni;9012;2023-06-13
1139;Gökhan Uysal;Kalite;Hat 2;Kalite Kontrol;9013;2026-03-29
1140;Derya Korkmaz;Bakım;Hat 1;Bakımcı;9014;2023-01-19
1141;Selim Korkmaz;Bakım;Hat 2;Bakımcı;9015;2021-11-10
1142;Sevgi Erdem;Lojistik;Hat 1;Sevkiyat;9016;2021-03-26
1143;Erhan Şimşek;Lojistik;Hat 2;Operatör;9017;2017-12-24
1144;Ahmet Gündoğdu;Depo;Hat 1;Depocu;9018;2018-07-29
1145;Aygül Sezer;Kaynak;Hat 1;Takım Lideri;9001;2015-10-16
1146;Erhan Güneş;Kaynak;Hat 2;Takım Lideri;9002;2018-03-09
1147;Mustafa Aslan;Kaynak;Hat 3;Kaynakçı;9003;2018-05-15
1148;Merve Şimşek;Montaj;Hat 1;Forklift;9004;2016-07-04
1149;Melike Yıldız;Montaj;Hat 2;Montajcı;9005;2016-10-20
1150;Ayşe Yıldız;Montaj;Hat 3;Montajcı;9006;2015-12-25
1151;Ayşe Avcı;Montaj;Hat 4;Montajcı;9007;2017-01-07
1152;Yavuz Duman;Boya;Hat 1;Operatör;9008;2019-11-07
1153;Ceren Başaran;Boya;Hat 2;Boyacı;9009;2020-08-23
1154;Turgay Ekinci;Presleme;Hat 1;Operatör;9010;2023-11-28
1155;Tuğba Gündoğdu;Presleme;Hat 2;Operatör;9011;2016-03-29
1156;Merve Uçar;Kalite;Hat 1;Kalite Kontrol;9012;2023-01-22
1157;Dilek Avcı;Kalite;Hat 2;Ölçüm Teknisyeni;9013;2022-07-11
1158;İbrahim Kaya;Bakım;Hat 1;Bakımcı;9014;2015-02-02
1159;Derya Kara;Bakım;Hat 2;Mekanikçi;9015;2017-06-23
1160;Gökhan Güneş;Lojistik;Hat 1;Forklift;9016;2019-10-25
1161;Serkan Özdemir;Lojistik;Hat 2;Sevkiyat;9017;2015-11-26
1162;Yusuf Karataş;Depo;Hat 1;Depocu;9018;2019-12-18
1163;Aygül Koç;Kaynak;Hat 1;Takım Lideri;9001;2019-04-05
1164;Aygül Şimşek;Kaynak;Hat 2;Kaynakçı;9002;2019-11-04
1165;Levent Sarı;Kaynak;Hat 3;Robot Operatörü;9003;2021-12-05
1166;Hüseyin Balcı;Montaj;Hat 1;Montajcı;9004;2025-01-28
1167;Betül Yıldız;Montaj;Hat 2;Operatör;9005;2020-02-17
1168;İbrahim Arslan;Montaj;Hat 3;Montajcı;9006;2022-01-07
1169;Bülent Büyük;Montaj;Hat 4;Montajcı;9007;2026-01-16
1170;Tuğba Kara;Boya;Hat 1;Operatör;9008;2024-11-26
1171;Nurten Ateş;Boya;Hat 2;Kabin Operatörü;9009;2023-11-14
1172;Hasan Karaca;Presleme;Hat 1;Kalıpçı;9010;2024-04-17
1173;Bülent Şener;Presleme;Hat 2;Pres Operatörü;9011;2021-09-30
1174;Songül Yalçın;Kalite;Hat 1;Kalite Kontrol;9012;2017-09-30
1175;Kemal Çakır;Kalite;Hat 2;Kalite Kontrol;9013;2024-10-07
1176;Taner Işık;Bakım;Hat 1;Elektrikçi;9014;2018-05-25
1177;Zeynep Balcı;Bakım;Hat 2;Bakımcı;9015;2025-02-27
1178;Bülent Yıldız;Lojistik;Hat 1;Operatör;9016;2020-05-03
1179;Taner Sarı;Lojistik;Hat 2;Operatör;9017;2025-09-26
1180;Şule Doğan;Depo;Hat 1;Forklift;9018;2020-07-22
1181;Osman Karataş;Kaynak;Hat 1;Takım Lideri;9001;2015-12-26
1182;Osman Güler;Kaynak;Hat 2;Takım Lideri;9002;2019-12-30
1183;Zehra Bal;Kaynak;Hat 3;Operatör;9003;2019-02-18
1184;Recep Aktaş;Montaj;Hat 1;Operatör;9004;2024-04-20
1185;Selim Başaran;Montaj;Hat 2;Montajcı;9005;2018-03-17
1186;Mustafa Erdem;Montaj;Hat 3;Takım Lideri;9006;2023-01-21
1187;Nesrin Şimşek;Montaj;Hat 4;Forklift;9007;2020-03-22
1188;Bülent Aslan;Boya;Hat 1;Kabin Operatörü;9008;2020-09-01
1189;Betül Toprak;Boya;Hat 2;Operatör;9009;2022-12-31
1190;Turgay Karaca;Presleme;Hat 1;Pres Operatörü;9010;2021-10-03
1191;Şerife Erdoğan;Presleme;Hat 2;Operatör;9011;2016-04-11
1192;Hüseyin Demir;Kalite;Hat 1;Denetçi;9012;2022-08-24
1193;Seda Koç;Kalite;Hat 2;Kalite Kontrol;9013;2019-01-26
1194;Gamze Ünal;Bakım;Hat 1;Elektrikçi;9014;2026-04-06
1195;Fatma Taş;Bakım;Hat 2;Bakımcı;9015;2015-06-19
1196;Nesrin Şahin;Lojistik;Hat 1;Forklift;9016;2023-03-07
1197;Salih Karaca;Lojistik;Hat 2;Forklift;9017;2018-07-10
1198;Mehmet Yıldız;Depo;Hat 1;Forklift;9018;2022-09-25
1199;Büşra Kılıç;Kaynak;Hat 1;Kaynakçı;9001;2022-04-24
1200;Songül Balcı;Kaynak;Hat 2;Kaynakçı;9002;2024-03-13
1201;Ramazan Kılıç;Kaynak;Hat 3;Operatör;9003;2020-05-31
1202;Görkem Işık;Montaj;Hat 1;Takım Lideri;9004;2020-11-03
1203;Büşra Koç;Montaj;Hat 2;Takım Lideri;9005;2024-04-13
1204;Zehra Turan;Montaj;Hat 3;Montajcı;9006;2026-03-31
1205;Zehra Kaya;Montaj;Hat 4;Takım Lideri;9007;2020-04-01
1206;Havva Bozkurt;Boya;Hat 1;Kabin Operatörü;9008;2024-08-29
1207;Ebru Özdemir;Boya;Hat 2;Kabin Operatörü;9009;2026-01-22
1208;Tuğba Bulut;Presleme;Hat 1;Kalıpçı;9010;2017-11-05
1209;Gamze Şener;Presleme;Hat 2;Kalıpçı;9011;2020-12-14
1210;Kübra Güler;Kalite;Hat 1;Denetçi;9012;2022-02-08
1211;Melike Bal;Kalite;Hat 2;Kalite Kontrol;9013;2023-11-01
1212;Zehra Arslan;Bakım;Hat 1;Bakımcı;9014;2016-10-20
1213;Büşra Acar;Bakım;Hat 2;Mekanikçi;9015;2021-06-25
1214;Ali Koç;Lojistik;Hat 1;Forklift;9016;2018-08-08
1215;Ayşe Ateş;Lojistik;Hat 2;Sevkiyat;9017;2020-02-04
1216;Ayşe Korkmaz;Depo;Hat 1;Depocu;9018;2018-05-14
1217;Nihal Turan;Kaynak;Hat 1;Operatör;9001;2019-03-19
1218;Emre Gündoğdu;Kaynak;Hat 2;Operatör;9002;2021-04-01
1219;Hüseyin Erdoğan;Kaynak;Hat 3;Robot Operatörü;9003;2017-06-19
1220;Havva Aksoy;Montaj;Hat 1;Montajcı;9004;2025-01-27
1221;Nazlı Özkan;Montaj;Hat 2;Takım Lideri;9005;2015-12-26
1222;Nazlı Genç;Montaj;Hat 3;Operatör;9006;2019-02-25
1223;Gamze Polat;Montaj;Hat 4;Takım Lideri;9007;2015-11-14
1224;Ergün Polat;Boya;Hat 1;Kabin Operatörü;9008;2022-06-12
1225;Sinan Yıldırım;Boya;Hat 2;Kabin Operatörü;9009;2020-08-09
1226;Kemal Bulut;Presleme;Hat 1;Kalıpçı;9010;2025-12-29
1227;Melis Polat;Presleme;Hat 2;Operatör;9011;2025-02-24
1228;Dilek Küçük;Kalite;Hat 1;Ölçüm Teknisyeni;9012;2021-03-10
1229;Yavuz Kara;Kalite;Hat 2;Ölçüm Teknisyeni;9013;2025-02-14
1230;Barış Yılmaz;Bakım;Hat 1;Elektrikçi;9014;2024-10-17
1231;Aygül Uysal;Bakım;Hat 2;Mekanikçi;9015;2020-12-30
1232;Selim Bal;Lojistik;Hat 1;Forklift;9016;2022-10-26
1233;Aygül Öztürk;Lojistik;Hat 2;Forklift;9017;2022-12-08
1234;Meryem Toprak;Depo;Hat 1;Forklift;9018;2023-11-05
1235;Hasan Aksoy;Kaynak;Hat 1;Operatör;9001;2020-10-17
1236;Nurten Doğan;Kaynak;Hat 2;Robot Operatörü;9002;2025-01-11
1237;Hasan Korkmaz;Kaynak;Hat 3;Robot Operatörü;9003;2023-09-26
1238;Kübra Ünal;Montaj;Hat 1;Takım Lideri;9004;2020-10-10
1239;Hülya Şimşek;Montaj;Hat 2;Forklift;9005;2023-06-22
1240;Murat Küçük;Montaj;Hat 3;Takım Lideri;9006;2015-12-21
1241;Bülent Şahin;Montaj;Hat 4;Forklift;9007;2021-08-18
1242;Osman Yıldırım;Boya;Hat 1;Boyacı;9008;2016-02-27
1243;Ebru Polat;Boya;Hat 2;Kabin Operatörü;9009;2015-02-24
1244;Hülya Ateş;Presleme;Hat 1;Pres Operatörü;9010;2022-11-19
1245;Özlem Şahin;Presleme;Hat 2;Kalıpçı;9011;2024-06-08
1246;Nesrin Yıldırım;Kalite;Hat 1;Ölçüm Teknisyeni;9012;2015-01-30
1247;Sinan Çelik;Kalite;Hat 2;Denetçi;9013;2017-10-10
1248;Recep Bozkurt;Bakım;Hat 1;Bakımcı;9014;2018-02-03
1249;Emre Acar;Bakım;Hat 2;Mekanikçi;9015;2025-07-11
1250;Görkem Gündoğdu;Lojistik;Hat 1;Forklift;9016;2022-12-29
1251;Volkan Ünal;Lojistik;Hat 2;Forklift;9017;2018-10-25
1252;Murat Genç;Depo;Hat 1;Forklift;9018;2022-11-02
1253;Ahmet Arslan;Kaynak;Hat 1;Operatör;9001;2016-03-04
1254;Şule Aydın;Kaynak;Hat 2;Operatör;9002;2025-09-09
1255;Nazlı Toprak;Kaynak;Hat 3;Takım Lideri;9003;2020-06-20
1256;Şerife Güneş;Montaj;Hat 1;Forklift;9004;2020-09-01
1257;Sevgi Uçar;Montaj;Hat 2;Takım Lideri;9005;2021-10-18
1258;Melike Koç;Montaj;Hat 3;Montajcı;9006;2025-03-11
1259;Ergün Yıldırım;Montaj;Hat 4;Takım Lideri;9007;2017-05-11
1260;Volkan Balcı;Boya;Hat 1;Kabin Operatörü;9008;2016-08-02
1261;Songül Koç;Boya;Hat 2;Kabin Operatörü;9009;2024-10-17
1262;Meryem Küçük;Presleme;Hat 1;Operatör;9010;2018-06-13
1263;İbrahim Aydın;Presleme;Hat 2;Operatör;9011;2018-05-04
1264;Pınar Şener;Kalite;Hat 1;Denetçi;9012;2018-12-21
1265;Sinan Güler;Kalite;Hat 2;Ölçüm Teknisyeni;9013;2019-05-24
1266;Aygül Erdem;Bakım;Hat 1;Bakımcı;9014;2015-05-29
1267;Nihal Işık;Bakım;Hat 2;Elektrikçi;9015;2017-03-15
1268;Esra Balcı;Lojistik;Hat 1;Forklift;9016;2016-09-11
1269;Ergün Kılıç;Lojistik;Hat 2;Sevkiyat;9017;2016-11-01
1270;Erhan Toprak;Depo;Hat 1;Sayım Görevlisi;9018;2023-08-27
1271;İbrahim Kara;Kaynak;Hat 1;Operatör;9001;2019-08-14
1272;Nurten Uçar;Kaynak;Hat 2;Robot Operatörü;9002;2026-05-11
1273;Merve Arslan;Kaynak;Hat 3;Kaynakçı;9003;2015-04-28
1274;Aslı Gündoğdu;Montaj;Hat 1;Montajcı;9004;2022-06-19
1275;Meryem Kara;Montaj;Hat 2;Forklift;9005;2015-03-15
1276;Ferhat Küçük;Montaj;Hat 3;Takım Lideri;9006;2020-12-21
1277;Yavuz Şahin;Montaj;Hat 4;Takım Lideri;9007;2017-12-01
1278;Tolga Avcı;Boya;Hat 1;Operatör;9008;2022-02-24
1279;Dilek Genç;Boya;Hat 2;Kabin Operatörü;9009;2017-09-22
1280;Mustafa Güler;Presleme;Hat 1;Operatör;9010;2017-08-18
1281;Nurten Sezer;Presleme;Hat 2;Operatör;9011;2015-06-18
1282;Cihan Toprak;Kalite;Hat 1;Denetçi;9012;2024-12-01
1283;Havva Özkan;Kalite;Hat 2;Denetçi;9013;2025-10-17
1284;Salih Ateş;Bakım;Hat 1;Mekanikçi;9014;2015-08-30
1285;Hatice Yılmaz;Bakım;Hat 2;Mekanikçi;9015;2017-11-09
1286;Emre Karataş;Lojistik;Hat 1;Forklift;9016;2019-11-12
1287;Nurten Yılmaz;Lojistik;Hat 2;Operatör;9017;2025-04-18
1288;Hüseyin Ekinci;Depo;Hat 1;Sayım Görevlisi;9018;2021-06-30
1289;Osman Toprak;Kaynak;Hat 1;Operatör;9001;2019-09-03
1290;Levent Başaran;Kaynak;Hat 2;Kaynakçı;9002;2018-07-24
1291;Sevgi Özdemir;Kaynak;Hat 3;Operatör;9003;2018-03-17
1292;Cihan Erdoğan;Montaj;Hat 1;Operatör;9004;2021-11-25
1293;Büşra Bozkurt;Montaj;Hat 2;Forklift;9005;2016-06-03
1294;Selim Gündoğdu;Montaj;Hat 3;Montajcı;9006;2021-12-01
1295;Recep Karaca;Montaj;Hat 4;Montajcı;9007;2019-05-23
1296;Bülent Özkan;Boya;Hat 1;Boyacı;9008;2020-10-07
1297;Hülya Yılmaz;Boya;Hat 2;Boyacı;9009;2022-03-27
1298;Turgay Yıldız;Presleme;Hat 1;Operatör;9010;2016-06-30
1299;Selim Sezer;Presleme;Hat 2;Kalıpçı;9011;2017-07-15
1300;Hatice Erdem;Kalite;Hat 1;Denetçi;9012;2023-10-27
1301;Hülya Coşkun;Kalite;Hat 2;Denetçi;9013;2023-12-22
1302;Cihan Başaran;Bakım;Hat 1;Mekanikçi;9014;2023-04-28
1303;Barış Işık;Bakım;Hat 2;Elektrikçi;9015;2021-09-17
1304;Onur Kara;Lojistik;Hat 1;Sevkiyat;9016;2016-03-01
1305;Uğur Turan;Lojistik;Hat 2;Forklift;9017;2022-11-05
1306;Derya Demir;Depo;Hat 1;Depocu;9018;2019-06-18
1307;Aslı Karaca;Kaynak;Hat 1;Kaynakçı;9001;2024-03-15
1308;Şule Bozkurt;Kaynak;Hat 2;Operatör;9002;2021-04-25
1309;Recep Bulut;Kaynak;Hat 3;Operatör;9003;2024-09-25
1310;Kübra Kılıç;Montaj;Hat 1;Operatör;9004;2021-10-21
1311;Havva Kılıç;Montaj;Hat 2;Montajcı;9005;2016-11-04
1312;Elif Ünal;Montaj;Hat 3;Takım Lideri;9006;2023-04-20
1313;Ebru Kurt;Montaj;Hat 4;Takım Lideri;9007;2018-11-18
1314;Ceren Tosun;Boya;Hat 1;Boyacı;9008;2025-08-17
1315;Emre Doğan;Boya;Hat 2;Boyacı;9009;2018-08-12
1316;Yusuf Taş;Presleme;Hat 1;Pres Operatörü;9010;2015-06-04
1317;Selim Küçük;Presleme;Hat 2;Kalıpçı;9011;2019-11-03
1318;Merve Yıldırım;Kalite;Hat 1;Kalite Kontrol;9012;2015-01-29
1319;Recep Duman;Kalite;Hat 2;Kalite Kontrol;9013;2022-07-09
1320;Görkem Karaca;Bakım;Hat 1;Bakımcı;9014;2022-01-22
1321;Özlem Turan;Bakım;Hat 2;Mekanikçi;9015;2016-07-26
